,siteName,WA
2,BRWL,1.98
3,Dark,1.68
4,Deer,2.91
5,DutChar,11.6
6,Elk,10
7,Fox,2.6
8,Hagar,0.13
9,JOH,10.6
10,Klamath,
11,LE,16.9
12,Mfeel,
13,Misery,1.95
14,MKLY,0.57
15,Mud,13.2
16,r10mi,
17,RatSnake,60.4
18,RW,8.09
19,Scul,0.09
20,SF_10mi,
21,SF_AS,39.96
22,SF_Elder,125.6
23,SF_Fox,144.7
24,SF_generic,
25,SF_Globbi,149.6
26,SF_HQ,116
27,SF_Janes,144.7
28,SF_LFB,
29,SF_MKLY,
30,SF_RS,
31,SF_RW,83.9
32,SF_Scotia,
33,SF_Skunk,124.9
35,SF_Wlbridge,
36,SF_WLP,
37,Skunk,0.35
38,Sugar,0.22
39,Trinity,
40,Turk,
41,UE,13.5
