param,p-value,Intercept,WAcoef,InterceptSE,WAcoefSE,R2_fixed,R2_full
gAFDMm2,0.6517544745926885,1.4956724985666805,-0.04458214088187503,0.13037253282205852,0.09878031072702208,0.008520067326817983,0.16087412751837338
microN_m2,0.05289027481387079,1.159575549216251,0.4197833502888639,0.2826953713537653,0.21685088400536578,0.20999885711486385,0.5257396193170605
ugU_m2_h_N,1.9345400349709276e-9,1.49616123419068,0.8472843315666508,0.18434977674619799,0.14113854339292614,0.6657688916376787,0.7487249644827975
ugU_m2_h_P,1.415656235720384e-4,1.737401174412294,0.5539599529581931,0.19533158027657263,0.14557142857348715,0.3241966015935576,0.3618152420017099
R_mgDOm2perH,0.07378336994291482,0.7695579366638032,0.3415298661413765,0.24852810615753676,0.1910171041893588,0.20150191703492548,0.5763906844907468
ugU_micN_h_N,0.19158946590854523,0.34080013049053576,0.4216862524138116,0.4183451869194452,0.3229106402214281,0.14026896646439033,0.6572067795500797
ugU_micN_h_P,0.5856278005017534,0.5479690555859669,0.16231812127438142,0.38889245150533963,0.2977315526714084,0.02069001258678627,0.3908005101873668
R_micN_h,0.7509728650475073,-0.3775484753144528,-0.08899046644628009,0.3645729075508238,0.28041138515576397,0.008231502188928938,0.5040504652519083
ugU_mgAFDM_h_N,1.0954715077991457e-8,-2.012768097576129,0.6813482313833247,0.15565444517691374,0.11921596182918118,0.648309023565272,0.7391110046501904
ugU_mgAFDM_h_P,1.8309219428756874e-7,-2.5254983647727225,0.6023726428252317,0.15631452428307033,0.11549147451587653,0.43102240607450243,0.43807016091935874
R_mgDOmgAFDMh_mean,0.09954924557586213,-3.727397681866559,0.3838150068260612,0.3020783458497252,0.23303280466948886,0.23945387575131002,0.8545172704644309
microC_m2,0.023005304029282997,1.9117879171960526,0.4546745669527463,0.260342683821575,0.20000231186571926,0.28421007101789453,0.6070514686492325
BilBacPerM2,1.4080737245303153e-4,0.33332712714572227,0.34993458895744683,0.121690053308167,0.09192486505462405,0.354641918054794,0.430850182026993
perL53_afdm,1.0040542140464144e-5,0.634736930434383,0.6113207009979339,0.18920045341863523,0.13842377382495447,0.37868532079210593,0.37868532079210593
perG53_afdm,0.011306051388475395,-2.22103878649579,-0.42234622448106,0.22426976960735548,0.1667313430974788,0.20511689297928226,0.24957724826650324
perG106_afdm,1.3446821550401863e-4,-1.5243184441371789,-0.6915582721625357,0.241982249703927,0.18112496272416037,0.4214556270771591,0.5017612570620071
perG250_afdm,0.08379927373374357,-3.9455347242399443,0.5712110938026549,0.4314417354849966,0.33036030318214354,0.21408562403748696,0.5858980668398582
